salutation,first_name,middle_name,family_name,suffix,house_number,address_line1,address_line2,city,region,country,postcode,telephone,mobile_number,work_number,email_address1,email_address2,gender,head_of_house,date_of_birth,date_of_baptism,date_of_joining,date_of_membership,date_of_leaving,date_of_wedding,date_of_death,grave_plot,membership_status,marital_status
Mr,Paki,Amir,Baldwin,   ,300,8283 Porttitor Rd.,Leicestershire,El Monte,Co. Sligo,Wales,SG05 4PB,+ 44 081 4794 7676,+ 44 063 5487 6661,+ 44 039 8470 4250,Vivamus@Donec.edu,tempor@liberoettristique.ca,Male,no,26/08/2009,01/08/1965,10/07/1985,17/12/1983,22/07/1967,12/02/1997,28/12/1981,2249,Visitor,Divorced
Ms,Kameko,Sydney,Bass,,301,P.O. Box 288 8541 Vel Avenue,Midlothian,Jenks,Nottinghamshire,Ireland,SI3 7SS,+ 44 001 2074 5653,+ 44 094 5121 2778,+ 44 059 9156 4941,orci.Ut@Aliquam.org,eu@Vivamus.ca,Female,yes,22/06/1998,17/12/1973,12/08/1970,04/04/2003,16/09/1994,15/02/1967,21/09/1997,2086,Member,Separated
Mrs,Christen,Jaime,Battle,,49,Ap #942-1898 Hendrerit Road,Kent,Eureka,Lancashire,United Kingdom,TP5 9LE,+ 44 029 4549 7807,+ 44 084 3767 9924,+ 44 061 1338 8873,Sed@urna.org,tortor.nibh.sit@facilisis.org,Female,   ,12/04/1971,28/12/1952,28/12/1959,09/06/1995,28/06/1960,26/06/2005,27/08/2007,4284,Adherent,Widow
Mr,Hilel,Avram,Beach,Snr,287,P.O. Box 740 4935 Lorem Ave,Co. Leitrim,Yukon,Grampian,Wales,LX0 9UR,+ 44 027 5815 8756,+ 44 063 8373 3775,+ 44 027 6830 7405,pharetra@ridiculus.edu,vitae.orci@diam.org,Male,yes,30/08/1994,21/01/1980,28/06/1966,17/07/1984,11/08/1992,12/12/1967,01/11/1980,4212,Child,Divorced
Ms,Madison,Carol,Bean,,102,Ap #589-9325 Interdum Street,Morayshire,Janesville,Lancashire,United Kingdom,S1W 7HO,+ 44 058 5310 9201,+ 44 083 8334 1798,+ 44 025 5762 9592,rutrum@molestie.ca,vestibulum@felisorciadipiscing.org,Female,   ,26/12/1986,25/01/1970,19/10/1965,24/12/1993,31/03/2003,30/03/1998,02/12/2005,1178,Visitor,Widow
Prof,Stewart,Darius,Bell,Jnr,211,P.O. Box 624 9386 Fusce Avenue,Sark,Hoover,East Lothian,Scotland,IB8G 5LT,+ 44 081 1731 5366,+ 44 027 2155 5810,+ 44 023 9360 1856,hendrerit.neque@Intinciduntcongue.com,et@sedestNunc.org,Male,yes,22/01/1971,26/10/1985,24/02/1978,13/08/1976,16/05/2006,20/05/1990,12/06/1989,1985,Member,Unknown
Mrs,Hanae,Quemby,Bell,,328,P.O. Box 463 1870 Sit Road,Angus,San Juan Capistrano,Peebles-shire,Scotland,C1L 0DR,+ 44 098 1557 8288,+ 44 012 8548 0252,+ 44 067 7948 1882,magna.Lorem@eget.com,porttitor.scelerisque@Vestibulum.edu,Female,   ,28/07/1963,04/06/2002,23/06/1971,26/08/2001,19/02/1959,06/10/1983,21/04/1996,2625,Member,Separated
Miss,Ingrid,Lucy,Benjamin,,220,7616 Quam Ave,Guernsey,North Charleston,North Yorkshire,United Kingdom,X4 0VF,+ 44 085 4665 9795,+ 44 075 3539 8865,+ 44 019 4894 7456,Proin.velit@nec.edu,cursus.et.magna@temporestac.org,Female,no,24/03/1947,22/05/1990,30/07/1969,14/02/1995,05/01/1987,21/06/2001,04/12/1995,1507,Member,Re-Married
Mrs,Amela,Rhiannon,Bennett,,317,Ap #569-9420 Faucibus St.,Radnorshire,Saratoga Springs,Angus,Ireland,AL46 6CU,+ 44 083 3193 9025,+ 44 008 1968 7659,+ 44 047 7871 2473,nibh@risusDonecnibh.org,erat.volutpat.Nulla@arcuac.edu,Female,no,05/10/1989,03/03/1961,10/11/1988,05/09/1983,06/10/1961,02/04/1983,08/11/1986,1213,Member,Divorced
Rev,Garth,Cyrus,Bentley,Jnr,211,8278 Condimentum. Rd.,Co. Kildare,East Lansing,Yorkshire,Scotland,BH74 8QD,+ 44 028 5727 8263,+ 44 092 2778 0799,+ 44 097 8070 7283,ut@mauris.ca,eleifend.non@quisurnaNunc.edu,Male,no,05/01/1993,26/05/1977,03/05/1994,09/08/1959,15/04/1953,16/06/1950,04/11/1987,2504,Adherent,Re-Married
Master,Rajah,Ahmed,Bishop,   ,111,Ap #520-5756 Ante Av.,Co. Sligo,Elsmere,East Sussex,Wales,JA4L 0TO,+ 44 053 1330 1437,+ 44 020 2872 0676,+ 44 075 6896 2369,mauris.sit.amet@velitjusto.org,adipiscing.lacus.Ut@massaIntegervitae.com,Male,no,22/08/1969,02/03/1978,12/09/2004,25/07/1980,05/09/1983,22/05/1989,25/11/1999,2151,Visitor,Cohabiting
Dr,Brandon,Dylan,Bishop,Snr,111,Ap #520-5756 Ante Av.,Co. Down,Fayetteville,Stirlingshire,Wales,WC9A 3DN,+ 44 069 8729 3638,+ 44 054 4578 8513,+ 44 083 2223 2273,sodales.at.velit@orci.edu,Duis.cursus@Namtempor.ca,Male,no,05/01/1956,02/01/1955,06/12/1968,05/02/1990,21/02/1953,19/07/1988,16/06/2002,2281,Visitor,Married
Mrs,Amaya,MacKensie,Bishop,,111,Ap #520-5756 Ante Av.,Merseyside,Fallon,West Glamorgan,Ireland,F2 7TB,+ 44 056 8285 0556,+ 44 066 7746 4793,+ 44 054 4659 9766,dictum.sapien.Aenean@ac.com,Class@Aeneaneget.ca,Female,   ,03/01/1966,15/02/1955,09/07/1984,06/11/1980,24/07/1993,21/11/1987,26/08/1987,2704,Adherent,Cohabiting
Prof,Macon,Samson,Blake,   ,345,Ap #498-4248 Facilisis Ave,Ayrshire,Saratoga Springs,Midlothian,Wales,J45 0LP,+ 44 048 6644 7446,+ 44 071 4253 0401,+ 44 087 6109 5590,elit@fringillaornareplacerat.edu,tincidunt.aliquam@turpisegestasAliquam.org,Male,yes,09/03/1958,28/01/1999,10/06/1998,24/10/1997,13/06/2001,10/08/1998,03/12/2004,3539,Visitor,Widower
Dr,Virginia,Autumn,Blevins,,119,161-2317 Mauris Road,Surrey,Gary,Gwynedd,Wales,L3R 2CA,+ 44 079 8494 3056,+ 44 049 9427 1515,+ 44 094 5320 6827,lacus.Ut.nec@Utsemperpretium.com,Aliquam.adipiscing@Donecdignissimmagna.ca,Female,no,24/03/2006,08/12/1987,16/08/1957,15/06/1984,07/04/1968,16/09/1994,31/03/2011,3672,Member,Cohabiting
Miss,Janna,Athena,Blevins,,119,162-2317 Mauris Road,Berwickshire,San Juan,Merionethshire,Scotland,KS3 6QE,+ 44 091 5848 2589,+ 44 013 4565 0416,+ 44 024 8942 6782,ut.ipsum.ac@aliquamenim.org,imperdiet.ornare.In@Cumsociisnatoque.edu,Female,   ,01/10/1986,14/03/1982,07/12/1961,09/10/2005,10/06/1997,30/12/1993,04/07/1982,2819,Child,Single
Prof,Nero,Tate,Bowman,Snr,217,518-2202 Nisl. St.,Central,Aliquippa,East Riding of Yorkshire,Wales,T3Z 2VT,+ 44 012 9598 6402,+ 44 080 6328 7219,+ 44 063 2069 4622,volutpat.Nulla@sollicitudinorci.ca,arcu.iaculis@loremeu.com,Male,yes,16/02/2005,24/03/1960,18/12/1991,26/11/1969,15/10/1990,05/09/1972,27/01/1991,2221,Adherent,Unknown
Ms,Britanni,Imelda,Boyer,,284,952-1318 Odio. Street,Cheshire,Laconia,Caithness,Scotland,Z5K 5BK,+ 44 046 2314 4442,+ 44 068 6597 5485,+ 44 020 4703 2493,ante.lectus.convallis@Maecenas.ca,pharetra@id.ca,Female,no,08/11/2008,27/11/1971,09/12/2004,29/07/1971,10/08/2005,07/06/1966,04/10/1996,3251,Child,Separated
Mr,Phillip,Duncan,Boyle,Snr,284,953-1318 Odio. Street,Jersey,Toledo,Co. Cork,Wales,P73 7OI,+ 44 032 8201 3295,+ 44 004 3187 2793,+ 44 042 4720 5581,Curabitur.dictum.Phasellus@urnaNunc.com,Suspendisse.commodo@liberoDonecconsectetuer.ca,Male,yes,09/08/2004,18/11/1952,30/05/1966,16/05/1965,29/05/1999,07/06/1991,06/06/1983,1775,Visitor,Married
Master,Leonard,Dennis,Bradshaw,Jnr,205,Ap #608-797 Sapien Av.,Co. Monaghan,Stanton,Inverness-shire,Scotland,S94 6LX,+ 44 087 3145 2337,+ 44 091 4429 8047,+ 44 089 1197 0435,elit@enim.com,Aliquam.vulputate.ullamcorper@convallisdolor.com,Male,yes,31/05/1962,07/04/1983,15/06/1963,27/12/1955,31/10/1964,05/07/1954,17/08/2001,3249,Member,Re-Married
Ms,Carol,Dominique,Brady,,188,791-3085 Et Rd.,Yorkshire,Lansing,Yorkshire,Wales,H5 0FW,+ 44 097 6610 7228,+ 44 076 4136 1011,+ 44 034 4553 8040,enim.condimentum.eget@egestasnuncsed.ca,Praesent.interdum.ligula@Aeneaneuismodmauris.ca,Female,yes,25/07/1970,22/06/1966,21/02/1985,31/07/1956,17/12/2000,13/07/1998,16/08/1984,2756,Adherent,Re-Married
Dr,Marvin,Tiger,Brewer,   ,54,7673 Facilisis Road,Co. Cavan,La Cañada Flintridge,Co. Antrim,Wales,V5Z 5WM,+ 44 029 5191 0002,+ 44 014 6917 4681,+ 44 066 9137 6335,Sed.nulla.ante@etmagnis.org,mattis.semper@magnaPraesentinterdum.org,Male,yes,01/09/2009,30/04/1962,01/04/2006,05/07/1970,10/04/2006,13/04/1966,02/08/2004,1132,Child,Re-Married
Prof,Orson,Quentin,Brewer,Jnr,54,7674 Facilisis Road,Dumfries and Galloway,Scranton,West Glamorgan,Wales,MS9A 0XD,+ 44 038 2062 8472,+ 44 010 4039 8295,+ 44 056 5612 6125,Donec@Craseu.org,in@nondapibus.com,Male,yes,29/09/1972,12/11/1995,03/01/1975,22/03/1959,20/04/1988,25/08/1962,25/01/1991,2904,Child,Widower
Dr,Melvin,Byron,Bridges,   ,76,P.O. Box 911 3689 Vivamus Rd.,Isle of Wight,LaGrange,Banffshire,Scotland,A66 9TO,+ 44 064 4814 9370,+ 44 062 3566 5071,+ 44 008 2261 8315,Duis.a.mi@nostra.org,Nulla@magnaseddui.org,Male,   ,08/08/1995,21/09/1975,22/03/2001,26/10/1962,03/04/1965,28/07/1963,19/04/2002,3652,Visitor,Re-Married
Dr,Vera,Buffy,Bright,,117,575-9817 Ligula. Road,Derbyshire,Jefferson City,Morayshire,Ireland,B1 8CZ,+ 44 043 4958 6597,+ 44 073 2181 3159,+ 44 071 7927 0351,aliquam.arcu@interdumfeugiat.edu,Duis@faucibusidlibero.org,Female,no,01/06/1966,13/08/1961,22/09/2003,29/10/1992,04/03/1962,17/03/1969,18/04/1994,4282,Member,Divorced
Miss,Bethany,Erica,Britt,,330,135-4298 Mollis Rd.,Bedfordshire,St. Petersburg,Kinross-shire,United Kingdom,OW4 6CQ,+ 44 087 1094 1250,+ 44 031 4354 1494,+ 44 015 9725 5616,Integer@tristiquepharetra.ca,nunc.In@enim.com,Female,no,14/11/1986,01/08/1975,16/01/1967,29/11/1991,17/06/2006,05/06/1956,26/07/1997,2856,Child,Divorced
Mrs,Bo,Maggie,Brock,,250,P.O. Box 808 2684 Tempor Road,Hereford and Worcester,Sioux City,Co. Cavan,United Kingdom,X32 1WW,+ 44 072 8056 1177,+ 44 070 9534 6159,+ 44 009 5323 7456,ut.quam@NullainterdumCurabitur.com,fringilla.purus@quislectus.org,Female,   ,14/08/1959,20/12/1990,19/09/2006,02/04/1974,30/08/1962,20/01/1979,19/02/1987,3142,Child,Single
Master,Amal,Giacomo,Brooks,Jnr,88,2275 Mollis. Rd.,Co. Limerick,Eugene,Sark,United Kingdom,UI6 3QD,+ 44 093 2911 3202,+ 44 042 7142 8704,+ 44 057 3100 5741,Proin.vel.arcu@dolornonummy.com,ut.erat@temporloremeget.edu,Male,   ,13/12/1999,09/09/1983,22/01/1977,15/06/1977,23/03/1957,12/07/1974,11/10/1987,2245,Member,Separated
Miss,Charde,Odette,Bruce,,61,P.O. Box 668 4236 Semper Avenue,Co. Leitrim,Rosemead,Mid Glamorgan,United Kingdom,EO8R 0ST,+ 44 012 7968 6793,+ 44 060 9053 8171,+ 44 047 2996 8675,dictum.mi@nonnisiAenean.ca,leo.Morbi@Innec.ca,Female,yes,26/02/1961,17/12/1970,30/11/1975,21/11/1989,18/04/2006,14/06/1998,30/08/2000,4370,Member,Married
Master,Nolan,Kenyon,Burch,Jnr,122,2224 Mauris Street,Roxburghshire,Clarksburg,Orkney,United Kingdom,GY13 6WA,+ 44 061 5791 9491,+ 44 052 9805 9708,+ 44 020 6425 6624,ut.dolor.dapibus@egetlacusMauris.org,arcu.eu@vehicularisus.com,Male,yes,29/10/1959,13/04/2008,15/08/2001,09/10/1977,12/09/1987,24/11/1959,25/05/1984,3052,Member,Cohabiting
Mrs,Aiko,Chelsea,Burnett,,287,6491 Molestie Road,Alderney,Rancho Cordova,Co. Mayo,Wales,T96 6SF,+ 44 059 2269 1602,+ 44 044 7316 7829,+ 44 059 9787 7434,Aliquam.erat.volutpat@feugiattellus.edu,pede@aliquam.ca,Female,no,24/01/1996,20/07/1950,19/11/1989,07/10/2003,23/08/1964,30/06/2002,04/11/1985,2062,Visitor,Widow
Master,Cadman,Lucas,Burns,Snr,42,Ap #203-9464 Lobortis Ave,Co. Clare,Warner Robins,Leicestershire,Wales,OE65 0DJ,+ 44 097 7048 1085,+ 44 076 6778 6300,+ 44 054 8699 2503,vulputate.lacus.Cras@nascetur.edu,dapibus.rutrum@vel.com,Male,   ,03/09/1949,26/10/1956,22/08/1985,22/11/1987,30/04/2005,22/05/1952,24/07/1992,1364,Adherent,Unknown
Master,Aladdin,Jasper,Burns,Jnr,42,Ap #203-9464 Lobortis Ave,Essex,Yigo,Orkney,United Kingdom,EL3 2HN,+ 44 032 6121 2795,+ 44 063 3185 7822,+ 44 047 2992 4257,lorem.Donec.elementum@bibendumDonecfelis.ca,interdum@adipiscing.org,Male,yes,15/02/1953,09/03/1967,11/08/1960,07/08/1971,11/04/1990,28/01/1964,07/08/2007,4142,Member,Single
Mrs,Amity,Wynter,Bush,,265,6058 Morbi Rd.,Humberside,Waycross,Cheshire,Scotland,S6C 6OX,+ 44 089 4758 5676,+ 44 031 2175 1672,+ 44 068 9926 6332,vitae@cursus.ca,Donec.felis.orci@liberonec.edu,Female,no,27/03/1986,02/08/1951,20/10/1993,17/06/1997,09/02/1969,05/01/1975,26/07/2010,2362,Child,Married
Mr,Harlan,Yardley,Cabrera,Snr,189,P.O. Box 351 9825 Amet Av.,Hertfordshire,Lawrenceville,Surrey,Wales,S86 4PN,+ 44 099 4533 7731,+ 44 071 4918 0662,+ 44 028 9557 3119,Sed.dictum@dolorquamelementum.org,aliquet@maurisInteger.ca,Male,yes,13/08/1957,07/06/1953,01/08/1980,24/06/1981,29/08/1953,08/12/1965,18/12/2005,4166,Visitor,Single
Prof,Dominic,Lucian,Cain,   ,249,868-3071 Maecenas Av.,Angus,Thomasville,Anglesey,United Kingdom,X9 3CK,+ 44 021 1593 1016,+ 44 075 5037 1861,+ 44 095 8868 7528,Fusce.aliquam.enim@necleoMorbi.edu,Nunc.mauris.Morbi@elit.com,Male,yes,20/05/1949,21/12/1983,07/07/1981,01/03/1970,10/01/1992,16/06/1964,28/08/2008,4382,Child,Cohabiting
Prof,Blake,Flynn,Cain,Snr,249,869-3071 Maecenas Av.,Co. Londonderry,Menomonee Falls,Angus,Ireland,Z0 1QH,+ 44 051 9670 0827,+ 44 035 1996 4224,+ 44 081 5222 2238,porttitor.vulputate@sed.org,eleifend.non.dapibus@commodohendrerit.ca,Male,yes,16/03/1993,21/09/1994,28/12/1992,18/05/1998,17/11/1991,23/02/1984,05/10/2005,2048,Child,Divorced
Miss,Alice,Hedda,Calderon,,124,144-7071 Pede St.,Perth,Durant,Avon,Wales,QY2 4SR,+ 44 061 6589 5208,+ 44 001 3189 1102,+ 44 042 3039 9636,eget@utmiDuis.org,felis.adipiscing.fringilla@pede.edu,Female,   ,16/01/1959,13/01/2005,31/10/1957,21/12/1958,23/05/1996,28/01/1969,13/09/1986,1793,Visitor,Unknown
Rev,Jakeem,Grant,Camacho,Jnr,300,P.O. Box 866 9231 Vitae Rd.,Co. Mayo,Frankfort,Co. Kilkenny,Scotland,LS4 4WK,+ 44 080 5258 3271,+ 44 001 3818 2422,+ 44 055 2156 8917,sed.tortor@semPellentesqueut.edu,nec.quam@etmagnis.com,Male,yes,28/09/1988,08/02/1988,21/06/2005,15/03/1988,03/03/1961,25/08/1964,29/05/2005,3071,Member,Widower
Master,Leroy,Omar,Campbell,Snr,302,2763 In Rd.,Ross and Cromarty,Manhattan Beach,Caernarvonshire,Scotland,TX51 7TX,+ 44 092 1987 0939,+ 44 067 8955 4658,+ 44 084 6815 4321,luctus@ornarefacilisis.edu,In@turpis.com,Male,no,08/09/1987,12/07/1974,12/07/1982,12/05/1955,24/05/1978,03/03/1989,30/09/2004,1651,Child,Married
Rev,Abel,Malcolm,Campos,Snr,52,P.O. Box 947 1577 Duis Ave,Co. Tipperary,Kalamazoo,Western Isles,Wales,F2D 1AZ,+ 44 039 9296 3123,+ 44 099 6915 8541,+ 44 061 6018 3203,ligula@dictum.org,a@lacusAliquamrutrum.edu,Male,no,14/07/1987,19/11/1996,19/04/2002,26/05/1963,21/01/1989,18/12/1974,24/12/2008,1314,Visitor,Married
Mrs,Harriet,Zia,Cannon,,292,759-148 Aliquam Ave,Co. Limerick,Cranston,Co. Kildare,Scotland,Q0 9GO,+ 44 019 4437 2774,+ 44 057 1940 4939,+ 44 082 9332 0312,natoque.penatibus.et@Nunc.ca,sapien.Nunc@Morbi.ca,Female,yes,15/04/1988,11/11/1975,15/01/1970,02/03/1968,10/08/1965,29/10/1962,20/11/2001,2836,Member,Separated
Miss,Jocelyn,Angela,Cantu,,42,8576 Pharetra. Av.,Merionethshire,Starkville,Mid Glamorgan,United Kingdom,F44 0BO,+ 44 026 5556 9970,+ 44 094 8724 4109,+ 44 070 8020 4705,velit@magna.ca,Curabitur.ut.odio@nasceturridiculusmus.edu,Female,yes,26/08/1953,24/09/1984,13/06/1955,07/06/2006,06/02/1968,03/07/1964,06/11/1983,3050,Member,Divorced
Ms,Phoebe,Wanda,Carlson,,325,645-2297 Nunc Rd.,Wiltshire,Claremont,Co. Laois,United Kingdom,M0 5WK,+ 44 040 7839 5086,+ 44 004 3205 2467,+ 44 070 5219 7146,ut.dolor@duinec.ca,ante.Vivamus.non@Integer.ca,Female,   ,30/03/1996,10/11/1970,28/06/1967,04/10/2003,28/12/1957,29/03/1984,18/06/1999,2480,Adherent,Unknown
Prof,Victor,Zane,Carpenter,   ,204,991-1183 Malesuada Av.,Anglesey,International Falls,Rutland,Wales,H17 9PJ,+ 44 091 7807 9214,+ 44 089 9809 6461,+ 44 018 7520 6902,commodo.ipsum@tinciduntaliquam.org,dolor.sit@pellentesquemassalobortis.ca,Male,no,31/03/2003,21/03/1983,18/09/2006,17/09/1963,27/11/2005,31/05/2000,26/10/1980,3829,Child,Separated
Dr,Felix,Kato,Carroll,   ,89,Ap #599-3861 Quis Ave,Sutherland,Vincennes,Co. Roscommon,Ireland,Z59 3NI,+ 44 024 1685 8989,+ 44 016 5793 0914,+ 44 059 8708 2927,lorem@nisl.edu,nibh@etarcuimperdiet.org,Male,   ,21/07/1972,22/04/1990,27/05/1982,10/12/1977,10/03/1976,11/10/1983,09/04/2003,2234,Child,Re-Married
Dr,Brooke,Cassidy,Carver,,150,408-1491 Ante St.,Co. Tyrone,Edmond,Gwent,Ireland,KA41 4FY,+ 44 052 5955 1690,+ 44 074 4932 1600,+ 44 032 7067 4726,ipsum.ac.mi@necmalesuadaut.ca,dictum.eu@erosNamconsequat.org,Female,yes,21/01/1960,16/07/1993,08/10/1999,05/05/2002,04/10/2006,25/07/1971,17/07/1987,1585,Child,Re-Married
Mr,Carter,Oliver,Castro,   ,55,Ap #555-6219 Nunc Avenue,Ayrshire,Duluth,Lancashire,Ireland,X9 9JP,+ 44 035 5817 5297,+ 44 033 6882 9254,+ 44 085 3175 0643,quam@fermentumconvallisligula.org,Suspendisse@Nam.com,Male,no,04/11/1970,04/01/1995,01/07/1951,08/08/1958,23/07/1982,28/11/1977,18/02/1991,3781,Member,Single
Mrs,Lani,Erin,Chandler,,247,4171 Et Ave,Midlothian,Clarksville,Worcestershire,Wales,G84 0KI,+ 44 018 9044 0971,+ 44 064 8484 0040,+ 44 045 3795 6360,dui.in@nuncsedlibero.ca,Cras.convallis@semperetlacinia.ca,Female,   ,05/11/1949,08/04/1957,14/06/1974,31/03/1968,15/06/1971,06/11/1997,06/07/1990,1962,Adherent,Cohabiting
Mrs,Jennifer,Jorden,Chaney,,74,P.O. Box 723 2773 A St.,Shropshire,Laramie,Montgomeryshire,Wales,N09 4GB,+ 44 004 1927 4795,+ 44 050 7234 1708,+ 44 028 9454 5597,Lorem.ipsum@eu.ca,magnis.dis@sedpede.edu,Female,yes,19/08/1968,09/07/1970,22/02/2002,01/06/2006,09/04/1962,31/07/1961,29/01/1988,2019,Child,Widow
Dr,Hakeem,Mufutau,Chavez,Jnr,229,611-9941 Egestas St.,West Lothian,Pittsburgh,South Yorkshire,Ireland,I62 3SC,+ 44 077 7914 1037,+ 44 055 1150 2281,+ 44 016 6419 0437,vulputate.ullamcorper@Craslorem.edu,in.aliquet@lacus.edu,Male,   ,23/06/1952,14/07/2010,24/03/1978,11/06/1982,03/12/1992,05/06/1967,14/09/2011,3123,Adherent,Re-Married
Dr,Christopher,August,Chavez,Jnr,149,887-6147 Vitae Road,East Sussex,Columbia,Roxburghshire,United Kingdom,D2 6IB,+ 44 028 7919 0339,+ 44 064 3138 9407,+ 44 053 7347 5748,condimentum.Donec.at@maurissagittis.org,et.rutrum.eu@ipsumleoelementum.ca,Male,yes,27/04/2000,29/11/1987,28/10/1964,02/11/2005,08/01/1963,12/02/1961,10/01/2005,2074,Member,Widower
Miss,Wendy,Rinah,Clarke,,241,Ap #160-3992 Cursus Ave,Co. Down,Glendale,Co. Roscommon,Ireland,KN0 4IS,+ 44 083 6767 6493,+ 44 096 1003 4400,+ 44 031 5988 4837,vel.turpis@Maecenas.ca,eu.euismod.ac@conguea.ca,Female,   ,05/01/2012,22/04/2006,11/11/1957,08/06/1974,06/05/1982,22/03/1981,06/02/1996,3137,Adherent,Widow
Master,Knox,Marshall,Clay,Jnr,142,P.O. Box 733 3600 In Av.,Westmorland,Manassas Park,West Yorkshire,Scotland,A9 2MS,+ 44 087 6301 0210,+ 44 053 8701 6476,+ 44 056 8171 1636,elit.Nulla@antedictum.org,tincidunt.aliquam@consectetuercursus.edu,Male,no,12/06/2000,24/05/1980,28/09/1961,29/10/1980,06/05/1958,19/02/1992,03/12/2001,3082,Member,Divorced
